date,open,low,high,close,volume
2014-04-07,"5,948","5,880","6,420","6,085",0.485
2014-04-08,"6,000","6,000","6,080","6,005",2.1
2014-04-09,"5,999","5,800","6,057","5,800",3.47016427
2014-04-10,"5,800","4,550","5,850","5,295",2.86537657
2014-04-11,"5,251","5,251","5,700","5,475",5.15641293
2014-04-12,"5,590","5,550","5,705","5,550",5.185
2014-04-13,"5,526","5,100","5,609","5,609",0.49230039
2014-04-14,"5,602","5,571","6,079","6,078",6.17278958
2014-04-15,"5,995","5,995","6,498","6,498",7.80711836
2014-04-16,"6,470","6,470","6,798","6,792",8.3523228
2014-04-17,"6,650","6,610","6,650","6,638",4.98132343
2014-04-18,"6,601","5,940","6,601","5,950",2.59372069
2014-04-19,"5,942","5,898","6,798","6,615",3.34562056
2014-04-20,"6,645","6,580","6,745","6,740",4.0029
2014-04-21,"6,735","6,735","6,800","6,785",0.9207
2014-04-22,"6,720","6,680","6,750","6,750",6.3256527
2014-04-23,"6,750","6,404","6,795","6,789",0.2876083
2014-04-24,"6,594","6,393","6,758","6,454",4.44387062
2014-04-25,"6,351","6,014","6,680","6,060",5.61160022
2014-04-26,"6,058","6,058","6,340","6,100",7.1909
2014-04-27,"6,140","5,909","6,289","5,909",4.68292394
2014-04-28,"5,900","5,813","6,318","5,980",7.9699139
2014-04-29,"5,976","5,860","6,290","5,897",4.46551764
2014-04-30,"5,990","5,990","6,064","6,030",7.88769842
2014-05-01,"6,042","6,005","6,048","6,048",4.06005
2014-05-02,"6,100","5,870","6,180","5,870",8.2361742
2014-05-03,"5,870","5,650","5,929","5,928",6.49815956
2014-05-04,"5,651","5,651","5,928","5,926",5.55352742
2014-05-05,"5,928","5,605","5,928","5,650",7.22785134
2014-05-06,"5,605","5,545","5,920","5,545",10.06475006
2014-05-07,"5,679","5,679","5,865","5,865",8.77595448
2014-05-08,"5,870","5,651","5,870","5,790",6.61762
2014-05-09,"5,790","5,790","6,109","5,927",15.06863
2014-05-10,"5,990","5,850","5,990","5,858",3.5091
2014-05-11,"5,830","5,814","5,830","5,830",4.394
2014-05-12,"5,810","5,650","5,900","5,850",8.131639
2014-05-13,"5,630","5,629","5,900","5,894",4.09935636
2014-05-14,"5,699","5,699","5,895","5,894",8.73953103
2014-05-15,"5,743","5,743","5,950","5,930",8.21136007
2014-05-16,"5,920","5,800","5,929","5,820",8.211803
2014-05-17,"5,820","5,799","5,902","5,800",5.61563769
2014-05-18,"5,742","5,742","5,890","5,890",3.5245115
2014-05-19,"5,890","5,742","5,903","5,742",5.56589048
2014-05-20,"5,898","5,898","6,340","6,340",10.7789425
2014-05-21,"6,390","6,139","6,434","6,420",6.38799562
2014-05-22,"6,420","6,420","6,998","6,840",11.5396039
2014-05-23,"6,860","6,726","6,999","6,765",9.13341719
2014-05-24,"6,814","6,726","6,982","6,741",3.89897722
2014-05-25,"6,920","6,745","7,662","7,601",5.52753516
2014-05-26,"7,695","7,168","7,708","7,168",8.3817
2014-05-27,"7,456","7,400","7,595","7,595",4.77547849
2014-05-28,"7,450","7,390","7,595","7,400",6.02455688
2014-05-29,"7,451","7,182","7,500","7,486",6.24952029
2014-05-30,"7,479","7,479","8,068","8,068",5.99606168
2014-05-31,"8,001","7,999","8,255","8,255",5.83554162
2014-06-01,"8,295","8,090","8,380","8,380",4.82777749
2014-06-02,"8,090","8,000","9,580","9,241",5.99261187
2014-06-03,"9,082","8,600","9,098","8,600",6.65486086
2014-06-04,"8,501","8,411","8,735","8,646",6.94996008
2014-06-05,"8,757","8,615","8,835","8,773",5.29558696
2014-06-06,"8,744","8,305","8,767","8,597",10.74808535
2014-06-07,"8,560","8,430","8,587","8,579",2.42071245
2014-06-08,"8,579","8,422","8,585","8,585",4.73921026
2014-06-09,"8,422","8,331","8,588","8,410",6.8035776
2014-06-10,"8,430","8,305","8,528","8,435",7.17055468
2014-06-11,"8,435","8,175","8,509","8,192",7.86077074
2014-06-12,"8,179","7,650","8,179","7,702",8.85378926
2014-06-13,"7,702","7,650","7,957","7,650",7.0987017
2014-06-14,"7,642","7,034","7,642","7,377",5.24481173
2014-06-15,"7,199","7,133","7,499","7,499",5.39527468
2014-06-16,"7,590","7,320","7,946","7,688",7.54401402
2014-06-17,"7,721","7,705","8,018","8,018",11.33777695
2014-06-18,"8,015","7,908","8,020","7,932",7.42961911
2014-06-19,"8,009","7,932","8,147","7,932",8.47720428
2014-06-20,"7,908","7,432","8,320","7,931",8.55870878
2014-06-21,"7,920","7,901","7,943","7,901",7.55060934
2014-06-22,"7,999","7,899","8,001","7,905",1.484357
2014-06-23,"7,892","7,625","7,897","7,700",9.32236336
2014-06-24,"7,700","7,675","7,968","7,968",4.48822392
2014-06-25,"7,711","7,535","7,968","7,590",13.36156815
2014-06-26,"7,977","7,550","9,578","8,000",10.99735823
2014-06-27,"7,922","7,670","8,253","8,253",8.96161121
2014-06-28,"8,001","7,795","8,108","7,999",6.21582683
2014-06-29,"7,921","7,921","8,067","7,975",6.16802902
2014-06-30,"7,959","7,920","8,480","8,480",10.73245775
2014-07-01,"8,235","8,235","8,813","8,512",13.97769534
2014-07-02,"8,524","8,524","9,399","8,632",12.90936702
2014-07-03,"8,689","8,553","12,500","8,699",26.52670857
2014-07-04,"8,699","8,299","8,822","8,475",14.89228796
2014-07-05,"8,342","8,329","8,599","8,429",6.68643176
2014-07-06,"8,375","8,301","8,444","8,329",7.19252666
2014-07-07,"8,328","8,110","8,385","8,110",13.27701676
2014-07-08,"8,081","8,081","8,382","8,260",7.472296
2014-07-09,"8,120","8,049","8,265","8,049",7.99193225
2014-07-10,"8,075","7,802","8,145","7,802",2.78747951
2014-07-11,"8,007","7,745","8,120","8,110",6.9160154
2014-07-12,"8,100","7,798","8,100","8,060",4.64931073
2014-07-13,"8,000","7,650","8,006","7,650",3.02208123
2014-07-14,"7,650","7,650","8,098","7,933",7.7368241
2014-07-15,"7,900","7,832","8,052","8,015",3.69054181
2014-07-16,"8,000","7,680","8,001","7,875",4.49046616
2014-07-17,"7,681","7,596","7,943","7,942",6.92352292
2014-07-18,"7,892","7,766","8,098","7,975",9.54206809
2014-07-19,"8,035","7,901","8,098.99","7,920",3.84828173
2014-07-20,"7,930","7,707","8,080","7,805",4.55673722
